dataset,model,state,mean,mean_CI95,var,var_CI95,param1,param1_CI95,param2,param2_CI95,param3,param3_CI95
ICU-stay,Log-normal,AC,9.92,"(6.82, 14.2)",206.2,"(64.83, 519.69)",1.74,"(1.42, 2.07)",1.03,"(0.88, 1.18)",,
ICU-stay,Log-normal,AL,8.16,"(7.37, 9.1)",170.25,"(121.52, 237.51)",1.47,"(1.39, 1.55)",1.12,"(1.07, 1.18)",,
ICU-stay,Log-normal,AM,9.32,"(8.64, 10.07)",165.94,"(128.48, 213.87)",1.7,"(1.64, 1.76)",1.03,"(0.99, 1.08)",,
ICU-stay,Log-normal,AP,11.0,"(8.79, 13.83)",225.19,"(106.32, 437.1)",1.88,"(1.67, 2.09)",1.01,"(0.89, 1.13)",,
ICU-stay,Log-normal,BA,8.7,"(8.0, 9.45)",162.99,"(123.3, 214.19)",1.59,"(1.52, 1.66)",1.07,"(1.03, 1.12)",,
ICU-stay,Log-normal,CE,9.8,"(9.2, 10.42)",170.99,"(138.44, 211.29)",1.77,"(1.72, 1.82)",1.01,"(0.97, 1.05)",,
ICU-stay,Log-normal,DF,8.96,"(8.09, 9.98)",151.43,"(106.45, 212.37)",1.67,"(1.58, 1.75)",1.03,"(0.97, 1.08)",,
ICU-stay,Log-normal,ES,11.0,"(10.08, 12.04)",173.3,"(128.64, 232.17)",1.95,"(1.88, 2.03)",0.94,"(0.89, 0.99)",,
ICU-stay,Log-normal,GO,8.6,"(7.69, 9.6)",111.67,"(76.29, 159.39)",1.69,"(1.6, 1.79)",0.95,"(0.89, 1.02)",,
ICU-stay,Log-normal,MA,10.53,"(8.93, 12.46)",281.25,"(163.3, 473.25)",1.73,"(1.59, 1.87)",1.11,"(1.03, 1.2)",,
ICU-stay,Log-normal,MG,9.65,"(8.84, 10.55)",151.16,"(112.1, 203.87)",1.79,"(1.71, 1.86)",0.98,"(0.93, 1.03)",,
ICU-stay,Log-normal,MS,8.34,"(6.39, 10.93)",149.4,"(62.76, 321.14)",1.56,"(1.33, 1.78)",1.05,"(0.93, 1.18)",,
ICU-stay,Log-normal,MT,7.37,"(5.84, 9.22)",99.33,"(47.13, 190.14)",1.48,"(1.29, 1.67)",1.0,"(0.9, 1.11)",,
ICU-stay,Log-normal,PA,9.28,"(8.62, 10.02)",202.42,"(155.94, 260.22)",1.62,"(1.57, 1.68)",1.1,"(1.06, 1.14)",,
ICU-stay,Log-normal,PB,8.33,"(7.31, 9.57)",164.7,"(106.28, 253.84)",1.52,"(1.41, 1.63)",1.1,"(1.03, 1.17)",,
ICU-stay,Log-normal,PE,9.82,"(8.44, 11.5)",282.93,"(172.18, 470.49)",1.6,"(1.48, 1.73)",1.16,"(1.09, 1.24)",,
ICU-stay,Log-normal,PI,10.08,"(8.28, 12.33)",275.6,"(145.84, 511.7)",1.66,"(1.5, 1.83)",1.13,"(1.04, 1.24)",,
ICU-stay,Log-normal,PR,10.09,"(9.4, 10.85)",133.81,"(104.54, 172.2)",1.89,"(1.83, 1.95)",0.91,"(0.87, 0.96)",,
ICU-stay,Log-normal,RJ,8.5,"(7.97, 9.08)",149.84,"(120.82, 184.96)",1.58,"(1.53, 1.63)",1.06,"(1.02, 1.1)",,
ICU-stay,Log-normal,RN,8.07,"(7.08, 9.21)",121.04,"(78.13, 184.86)",1.57,"(1.46, 1.67)",1.02,"(0.95, 1.09)",,
ICU-stay,Log-normal,RO,9.04,"(7.76, 10.54)",134.76,"(79.07, 220.7)",1.72,"(1.59, 1.84)",0.98,"(0.89, 1.07)",,
ICU-stay,Log-normal,RR,10.7,"(8.4, 13.58)",225.91,"(103.04, 464.99)",1.83,"(1.63, 2.04)",1.03,"(0.91, 1.15)",,
ICU-stay,Log-normal,RS,11.87,"(11.06, 12.77)",247.19,"(192.52, 317.25)",1.97,"(1.91, 2.03)",1.0,"(0.96, 1.05)",,
ICU-stay,Log-normal,SC,12.7,"(11.21, 14.41)",283.24,"(188.37, 423.17)",2.04,"(1.93, 2.14)",1.0,"(0.93, 1.07)",,
ICU-stay,Log-normal,SE,10.19,"(8.85, 11.81)",175.56,"(104.45, 278.35)",1.83,"(1.71, 1.95)",0.99,"(0.91, 1.07)",,
ICU-stay,Log-normal,SP,10.13,"(9.86, 10.41)",185.12,"(168.26, 203.04)",1.8,"(1.78, 1.82)",1.01,"(1.0, 1.03)",,
ICU-stay,Log-normal,TO,9.58,"(7.34, 12.37)",200.3,"(88.82, 412.54)",1.69,"(1.46, 1.92)",1.06,"(0.94, 1.18)",,
ICU-stay,Log-normal,Brazil,9.77,"(9.61, 9.93)",182.8,"(172.53, 193.16)",1.74,"(1.73, 1.76)",1.03,"(1.02, 1.04)",,
ICU-stay,Gen. Gamma,AC,7.87,"(3.34, 15.99)",33.65,"(5.84, 122.89)",6.08,"(2.48, 12.42)",1.87,"(0.86, 3.08)",1.26,"(1.01, 1.87)"
ICU-stay,Gen. Gamma,AL,7.27,"(6.75, 7.8)",48.39,"(40.56, 57.21)",7.16,"(6.18, 8.49)",1.06,"(0.96, 1.17)",1.03,"(1.0, 1.11)"
ICU-stay,Gen. Gamma,AM,8.49,"(8.06, 8.95)",55.98,"(49.21, 63.82)",7.02,"(6.23, 8.18)",1.26,"(1.16, 1.36)",1.03,"(1.0, 1.09)"
ICU-stay,Gen. Gamma,AP,10.25,"(8.4, 12.36)",66.46,"(42.16, 105.24)",8.55,"(5.66, 12.85)",1.46,"(1.08, 1.89)",1.13,"(1.0, 1.42)"
ICU-stay,Gen. Gamma,BA,7.99,"(7.55, 8.47)",54.86,"(47.61, 63.34)",7.21,"(6.41, 8.22)",1.14,"(1.06, 1.24)",1.02,"(1.0, 1.07)"
ICU-stay,Gen. Gamma,CE,8.91,"(8.54, 9.29)",58.25,"(52.27, 64.76)",6.96,"(6.26, 7.95)",1.33,"(1.24, 1.42)",1.02,"(1.0, 1.08)"
ICU-stay,Gen. Gamma,DF,8.44,"(7.78, 9.14)",58.6,"(48.25, 70.66)",7.38,"(6.3, 8.79)",1.19,"(1.06, 1.33)",1.03,"(1.0, 1.09)"
ICU-stay,Gen. Gamma,ES,9.97,"(9.37, 10.58)",57.44,"(48.76, 67.61)",8.03,"(5.9, 11.23)",1.53,"(1.31, 1.75)",1.15,"(1.01, 1.39)"
ICU-stay,Gen. Gamma,GO,7.84,"(7.24, 8.49)",39.84,"(32.56, 48.53)",5.95,"(4.78, 7.9)",1.46,"(1.27, 1.67)",1.06,"(1.0, 1.22)"
ICU-stay,Gen. Gamma,MA,9.17,"(8.1, 10.35)",67.96,"(50.42, 90.34)",9.78,"(7.03, 13.92)",1.12,"(0.92, 1.33)",1.14,"(1.0, 1.42)"
ICU-stay,Gen. Gamma,MG,8.92,"(8.34, 9.52)",56.09,"(47.37, 66.52)",6.83,"(5.84, 8.33)",1.38,"(1.23, 1.53)",1.03,"(1.0, 1.12)"
ICU-stay,Gen. Gamma,MS,6.73,"(5.26, 8.61)",35.26,"(19.92, 60.69)",6.73,"(4.1, 10.65)",1.2,"(0.84, 1.64)",1.13,"(1.0, 1.44)"
ICU-stay,Gen. Gamma,MT,5.8,"(4.88, 6.87)",21.27,"(13.98, 32.48)",5.16,"(3.29, 8.05)",1.42,"(1.05, 1.82)",1.16,"(1.01, 1.51)"
ICU-stay,Gen. Gamma,PA,8.33,"(7.91, 8.78)",60.26,"(53.16, 68.25)",7.66,"(6.85, 8.8)",1.13,"(1.04, 1.21)",1.02,"(1.0, 1.08)"
ICU-stay,Gen. Gamma,PB,7.24,"(6.56, 7.93)",42.84,"(34.08, 53.94)",7.56,"(5.72, 10.6)",1.11,"(0.95, 1.28)",1.12,"(1.0, 1.37)"
ICU-stay,Gen. Gamma,PE,9.03,"(8.11, 10.06)",84.54,"(66.07, 109.74)",10.06,"(8.31, 12.29)",0.94,"(0.82, 1.08)",1.03,"(1.0, 1.11)"
ICU-stay,Gen. Gamma,PI,9.04,"(7.67, 10.59)",76.55,"(53.24, 110.55)",9.79,"(7.26, 13.33)",1.02,"(0.82, 1.24)",1.07,"(1.0, 1.24)"
ICU-stay,Gen. Gamma,PR,9.59,"(9.09, 10.13)",60.1,"(52.43, 68.68)",6.57,"(5.83, 7.47)",1.51,"(1.39, 1.64)",1.02,"(1.0, 1.06)"
ICU-stay,Gen. Gamma,RJ,7.78,"(7.43, 8.15)",50.44,"(45.09, 56.52)",6.71,"(6.12, 7.46)",1.19,"(1.11, 1.26)",1.01,"(1.0, 1.05)"
ICU-stay,Gen. Gamma,RN,7.26,"(6.62, 7.98)",39.75,"(31.73, 49.94)",6.14,"(4.99, 7.9)",1.28,"(1.1, 1.46)",1.05,"(1.0, 1.17)"
ICU-stay,Gen. Gamma,RO,8.11,"(7.24, 9.05)",42.99,"(32.2, 57.55)",6.65,"(4.83, 9.61)",1.42,"(1.14, 1.7)",1.1,"(1.0, 1.32)"
ICU-stay,Gen. Gamma,RR,10.04,"(8.12, 12.34)",67.47,"(40.91, 110.69)",8.57,"(5.54, 13.19)",1.4,"(1.0, 1.85)",1.11,"(1.0, 1.39)"
ICU-stay,Gen. Gamma,RS,11.21,"(10.6, 11.85)",97.6,"(85.13, 112.03)",9.04,"(8.09, 10.16)",1.27,"(1.17, 1.37)",1.02,"(1.0, 1.06)"
ICU-stay,Gen. Gamma,SC,11.89,"(10.82, 13.03)",99.46,"(79.28, 125.37)",9.58,"(7.64, 12.71)",1.36,"(1.15, 1.57)",1.06,"(1.0, 1.21)"
ICU-stay,Gen. Gamma,SE,9.31,"(8.31, 10.44)",57.45,"(43.37, 76.3)",7.51,"(5.56, 10.57)",1.42,"(1.16, 1.69)",1.08,"(1.0, 1.28)"
ICU-stay,Gen. Gamma,SP,9.44,"(9.26, 9.61)",70.18,"(66.98, 73.61)",7.49,"(7.24, 7.74)",1.27,"(1.23, 1.3)",1.0,"(1.0, 1.01)"
ICU-stay,Gen. Gamma,TO,8.13,"(6.37, 10.28)",46.07,"(26.49, 80.97)",8.06,"(4.81, 12.78)",1.29,"(0.89, 1.78)",1.18,"(1.01, 1.6)"
ICU-stay,Gen. Gamma,Brazil,9.01,"(8.89, 9.12)",79.05,"(75.58, 82.75)",1.08,"(0.72, 1.45)",1.86,"(1.76, 1.96)",0.59,"(0.55, 0.62)"
ICU-stay,Gen. Log-normal,AC,11.15,"(5.98, 21.94)",9367.94,"(24.91, 7522.1)",1.75,"(1.38, 2.11)",0.99,"(0.7, 1.29)",1.98,"(1.48, 2.5)"
ICU-stay,Gen. Log-normal,AL,7.94,"(7.05, 9.0)",147.33,"(85.66, 251.02)",1.44,"(1.35, 1.53)",1.21,"(1.06, 1.39)",2.19,"(1.87, 2.69)"
ICU-stay,Gen. Log-normal,AM,9.52,"(8.73, 10.39)",199.35,"(133.8, 311.1)",1.71,"(1.65, 1.78)",0.97,"(0.85, 1.08)",1.88,"(1.66, 2.1)"
ICU-stay,Gen. Log-normal,AP,10.79,"(8.4, 14.1)",211.33,"(75.56, 582.81)",1.89,"(1.69, 2.1)",1.01,"(0.83, 1.21)",2.09,"(1.74, 2.56)"
ICU-stay,Gen. Log-normal,BA,8.43,"(7.76, 9.19)",129.84,"(91.77, 185.73)",1.57,"(1.5, 1.64)",1.17,"(1.05, 1.31)",2.26,"(1.97, 2.65)"
ICU-stay,Gen. Log-normal,CE,10.43,"(9.62, 11.38)",280.03,"(173.07, 493.97)",1.82,"(1.76, 1.87)",0.86,"(0.74, 0.98)",1.7,"(1.5, 1.93)"
ICU-stay,Gen. Log-normal,DF,8.76,"(7.89, 9.78)",127.47,"(83.9, 201.04)",1.66,"(1.57, 1.74)",1.09,"(0.97, 1.23)",2.2,"(1.92, 2.57)"
ICU-stay,Gen. Log-normal,ES,11.61,"(10.44, 13.03)",258.48,"(145.14, 525.05)",2.0,"(1.92, 2.09)",0.79,"(0.63, 0.93)",1.71,"(1.42, 1.97)"
ICU-stay,Gen. Log-normal,GO,8.59,"(7.64, 9.74)",115.91,"(70.37, 196.64)",1.7,"(1.6, 1.79)",0.91,"(0.77, 1.04)",1.93,"(1.65, 2.22)"
ICU-stay,Gen. Log-normal,MA,11.47,"(9.1, 14.95)",672.53,"(170.28, 2009.24)",1.75,"(1.58, 1.92)",1.08,"(0.88, 1.29)",1.89,"(1.54, 2.27)"
ICU-stay,Gen. Log-normal,MG,9.86,"(8.86, 11.01)",183.7,"(111.83, 319.63)",1.8,"(1.72, 1.88)",0.9,"(0.77, 1.03)",1.85,"(1.58, 2.09)"
ICU-stay,Gen. Log-normal,MS,8.65,"(6.12, 12.45)",365.78,"(52.56, 1143.27)",1.55,"(1.3, 1.79)",1.04,"(0.84, 1.25)",1.93,"(1.57, 2.32)"
ICU-stay,Gen. Log-normal,MT,7.29,"(5.61, 9.61)",120.19,"(36.87, 342.8)",1.47,"(1.28, 1.67)",0.96,"(0.76, 1.14)",1.93,"(1.57, 2.3)"
ICU-stay,Gen. Log-normal,PA,8.92,"(8.18, 9.81)",160.59,"(110.98, 239.77)",1.59,"(1.53, 1.67)",1.2,"(1.07, 1.34)",2.25,"(1.95, 2.63)"
ICU-stay,Gen. Log-normal,PB,8.11,"(6.92, 9.61)",147.04,"(74.42, 284.32)",1.49,"(1.37, 1.61)",1.17,"(1.02, 1.37)",2.18,"(1.84, 2.7)"
ICU-stay,Gen. Log-normal,PE,10.02,"(8.37, 12.16)",326.17,"(146.55, 763.23)",1.59,"(1.47, 1.73)",1.22,"(1.05, 1.43)",2.08,"(1.76, 2.53)"
ICU-stay,Gen. Log-normal,PI,11.09,"(8.58, 15.04)",673.81,"(163.55, 2227.48)",1.67,"(1.5, 1.86)",1.13,"(0.94, 1.34)",1.9,"(1.58, 2.27)"
ICU-stay,Gen. Log-normal,PR,10.23,"(9.53, 11.02)",163.15,"(113.68, 248.05)",1.9,"(1.85, 1.96)",0.8,"(0.69, 0.91)",1.77,"(1.54, 1.99)"
ICU-stay,Gen. Log-normal,RJ,8.46,"(7.85, 9.12)",147.21,"(105.03, 208.13)",1.58,"(1.52, 1.63)",1.07,"(0.98, 1.18)",2.04,"(1.83, 2.28)"
ICU-stay,Gen. Log-normal,RN,8.12,"(7.07, 9.35)",134.97,"(74.13, 262.08)",1.57,"(1.46, 1.68)",0.98,"(0.83, 1.13)",1.93,"(1.64, 2.24)"
ICU-stay,Gen. Log-normal,RO,8.83,"(7.43, 10.51)",124.28,"(61.33, 251.48)",1.71,"(1.57, 1.85)",0.98,"(0.83, 1.14)",2.05,"(1.73, 2.45)"
ICU-stay,Gen. Log-normal,RR,10.79,"(8.25, 14.64)",292.86,"(81.56, 961.69)",1.84,"(1.63, 2.06)",1.01,"(0.81, 1.21)",1.99,"(1.63, 2.4)"
ICU-stay,Gen. Log-normal,RS,11.98,"(11.06, 13.0)",272.99,"(193.03, 399.04)",1.97,"(1.91, 2.04)",0.97,"(0.86, 1.06)",1.92,"(1.71, 2.13)"
ICU-stay,Gen. Log-normal,SC,12.76,"(11.21, 14.7)",298.38,"(173.38, 544.63)",2.05,"(1.94, 2.16)",0.97,"(0.83, 1.11)",1.96,"(1.68, 2.25)"
ICU-stay,Gen. Log-normal,SE,10.32,"(8.73, 12.28)",209.18,"(99.6, 442.41)",1.84,"(1.71, 1.98)",0.91,"(0.73, 1.07)",1.87,"(1.54, 2.19)"
ICU-stay,Gen. Log-normal,SP,10.09,"(9.81, 10.39)",180.03,"(158.7, 205.65)",1.8,"(1.78, 1.82)",1.03,"(0.98, 1.07)",2.03,"(1.93, 2.13)"
ICU-stay,Gen. Log-normal,TO,10.25,"(7.31, 14.99)",998.82,"(76.45, 1841.03)",1.7,"(1.45, 1.94)",1.06,"(0.85, 1.28)",1.95,"(1.57, 2.38)"
ICU-stay,Gen. Log-normal,Brazil,9.86,"(9.67, 10.06)",194.53,"(177.04, 214.82)",1.75,"(1.74, 1.77)",1.01,"(0.98, 1.04)",1.95,"(1.88, 2.01)"
onset-to-death,Gamma,AC,17.45,"(16.15, 18.81)",119.42,"(98.79, 143.63)",2.56,"(2.24, 2.89)",0.15,"(0.13, 0.17)",,
onset-to-death,Gamma,AL,13.95,"(13.41, 14.51)",82.47,"(74.3, 91.93)",2.36,"(2.2, 2.54)",0.17,"(0.16, 0.18)",,
onset-to-death,Gamma,AM,15.63,"(15.29, 15.99)",95.25,"(89.07, 102.13)",2.57,"(2.44, 2.7)",0.16,"(0.16, 0.17)",,
onset-to-death,Gamma,AP,14.53,"(13.19, 15.99)",99.07,"(79.82, 122.69)",2.14,"(1.86, 2.44)",0.15,"(0.13, 0.17)",,
onset-to-death,Gamma,BA,15.15,"(14.71, 15.61)",116.64,"(107.93, 126.15)",1.97,"(1.87, 2.07)",0.13,"(0.12, 0.14)",,
onset-to-death,Gamma,CE,16.11,"(15.84, 16.39)",116.37,"(111.11, 122.01)",2.23,"(2.16, 2.3)",0.14,"(0.13, 0.14)",,
onset-to-death,Gamma,DF,16.41,"(15.64, 17.21)",105.04,"(92.66, 119.05)",2.57,"(2.35, 2.8)",0.16,"(0.14, 0.17)",,
onset-to-death,Gamma,ES,16.96,"(16.42, 17.52)",107.83,"(98.25, 118.13)",2.67,"(2.49, 2.86)",0.16,"(0.15, 0.17)",,
onset-to-death,Gamma,GO,14.48,"(13.82, 15.17)",87.94,"(77.91, 99.09)",2.39,"(2.19, 2.59)",0.17,"(0.15, 0.18)",,
onset-to-death,Gamma,MA,15.0,"(14.58, 15.42)",89.38,"(82.73, 96.51)",2.52,"(2.38, 2.66)",0.17,"(0.16, 0.18)",,
onset-to-death,Gamma,MG,15.1,"(14.55, 15.65)",95.11,"(86.35, 104.66)",2.4,"(2.24, 2.57)",0.16,"(0.15, 0.17)",,
onset-to-death,Gamma,MS,14.81,"(13.35, 16.39)",93.87,"(74.78, 116.79)",2.35,"(2.02, 2.7)",0.16,"(0.14, 0.19)",,
onset-to-death,Gamma,MT,14.12,"(13.14, 15.12)",80.62,"(67.21, 96.4)",2.48,"(2.19, 2.81)",0.18,"(0.15, 0.2)",,
onset-to-death,Gamma,PA,14.74,"(14.48, 15.0)",90.21,"(85.66, 94.86)",2.41,"(2.32, 2.5)",0.16,"(0.16, 0.17)",,
onset-to-death,Gamma,PB,13.95,"(13.44, 14.49)",78.7,"(71.23, 87.25)",2.48,"(2.3, 2.66)",0.18,"(0.16, 0.19)",,
onset-to-death,Gamma,PE,12.95,"(12.67, 13.25)",89.67,"(84.59, 95.11)",1.87,"(1.8, 1.95)",0.14,"(0.14, 0.15)",,
onset-to-death,Gamma,PI,16.47,"(15.56, 17.4)",114.81,"(99.44, 131.72)",2.37,"(2.14, 2.61)",0.14,"(0.13, 0.16)",,
